# https://fortnite.fandom.com/wiki/Named_Locations
Anvil Square
Breakwater Bay
Brutal Bastion
Faulty Splits
Frenzy Fields
Lonely Labs
Shattered Slabs
Slappy Shores
The Citadel
MEGA City
Steamy Springs
Kenjutsu Crossing
Knotty Nets
Covert Cavern
Command Cavern
The Fortress
The Collider
Camp Cuddle
Logjam Lumberyard
The Daily Bugle
Logjam Lotus
Shifty Shafts
Condo Canyon
Shuffled Shrines
Lazy Lagoon
Reality Falls
The Joneses
Sanctuary
Coney Crossroads
Greasy Grove
Sleepy Sound
Chonker's Speedway
Rocky Reels
Tilted Towers
Synapse Station
Rave Cave
Logjam Junction
Fort Jonesy
Herald's Sanctum
Shimmering Shrine
Lustrous Lagoon
Reality Tree
Cloudy Condos
Grim Gables
Chrome Crossroads
Flutter Barn
Shiny Sound
Tainted Towers
The Agency
The Authority
The Convergence
Colossal Coliseum
Colossal Crops
Corny Complex
Doom's Domain
The Fortilla
Frenzy Farm
The Grotto
Holly Hatchery
Hunter's Haven
Rickety Rig
The Rig
The Ruins
Salty Springs
Salty Towers
The Shark
Slurpy Swamp
The Spire
Stark Industries
Stealthy Stronghold
Sweaty Sands
The Yacht
Believer Beach
Boney Burbs
Catty Corner
Coral Castle
Corny Crops
Craggy Cliffs
Dirty Docks
Holly Hedges
Lazy Lake
Misty Meadows
Pleasant Park
Retail Row
Sludgy Swamp
Steamy Stacks
The Pyramid
Weeping Woods
Anarchy Acres
Dusty Depot
Dusty Divot
Fatal Fields
Flush Factory
Frosty Flights
Gotham City
Greasy Grove
Happy Hamlet
Haunted Hills
Junk Junction
Lazy Lagoon
Lazy Links
Leaky Lake
Lonely Lodge
Loot Lake
Lucky Landing
Mega Mall
Moisty Mire
Moisty Palms
Neo Tilted
Paradise Palms
Polar Peak
Pressure Plant
Salty Springs
Shifty Shafts
Snobby Shores
Starry Suburbs
Sunny Steps
The Block
Tilted Towers
Tilted Town
Tomato Temple
Tomato Town
Wailing Woods
The Plaza
The Big Screen
Main Stage
